Roll Number,Department
23H71A5414,AIDS
23H71A5415,AIDS
23H71A5416,AIDS
23H71A5417,AIDS
23H71A5418,AIDS
23H71A5419,AIDS
23H71A5420,AIDS
23H71A5421,AIDS
23H71A5422,AIDS
23H71A5423,AIDS
23H71A5424,AIDS
23H71A5425,AIDS
23H71A5426,AIDS
23H71A5427,AIDS
23H71A5428,AIDS
23H71A5429,AIDS
23H71A5430,AIDS
23H71A5431,AIDS
23H71A5432,AIDS
23H71A5433,AIDS
23H71A5434,AIDS
23H71A5435,AIDS
23H71A5436,AIDS
23H71A5437,AIDS
23H71A5438,AIDS
23H71A5439,AIDS
23H71A5440,AIDS
23H71A5441,AIDS
23H71A5442,AIDS
23H71A5443,AIDS
23H71A5444,AIDS
23H71A5445,AIDS
23H71A5446,AIDS
23H71A5447,AIDS
23H71A5448,AIDS
23H71A5449,AIDS
23H71A5450,AIDS
23H71A5451,AIDS
23H71A5452,AIDS
23H71A5453,AIDS
23H71A5454,AIDS
23H71A5455,AIDS
23H71A5456,AIDS
23H71A5457,AIDS
23H71A5458,AIDS
23H71A5459,AIDS
23H71A5460,AIDS
23H71A5461,AIDS
23H71A5462,AIDS
23H71A5463,AIDS
23H71A5464,AIDS
23H71A5465,AIDS
23H71A5466,AIDS
23H71A5467,AIDS
23H71A5468,AIDS
23H71A5469,AIDS
23H71A5470,AIDS
23H71A5471,AIDS
23H71A5472,AIDS
23H71A5473,AIDS
23H71A5474,AIDS
23H71A5475,AIDS
23H71A5476,AIDS
23H71A5477,AIDS
23H71A5478,AIDS
23H71A5479,AIDS
23H71A5480,AIDS
23H71A5481,AIDS
23H71A5482,AIDS
23H71A5483,AIDS
23H71A5484,AIDS
23H71A5485,AIDS
23H71A5486,AIDS
23H71A5487,AIDS
23H71A5488,AIDS
23H71A5489,AIDS
23H71A5490,AIDS
23H71A5491,AIDS
23H71A5492,AIDS
23H71A5493,AIDS
23H71A5494,AIDS
23H71A5495,AIDS
23H71A5496,AIDS
23H71A5497,AIDS
23H71A5498,AIDS
23H71A5499,AIDS
23H71A54A0,AIDS
23H71A54A1,AIDS
23H71A54A2,AIDS
23H71A54A3,AIDS
23H71A54A4,AIDS
23H71A54A5,AIDS
23H71A54A6,AIDS
23H71A54A7,AIDS
23H71A54A8,AIDS
23H71A54A9,AIDS
23H71A54B0,AIDS
23H71A54B1,AIDS
23H71A54B2,AIDS
23H71A54B3,AIDS
23H71A54B4,AIDS
23H71A54B5,AIDS
23H71A54B6,AIDS
23H71A54B7,AIDS
23H71A54B8,AIDS
23H71A54B9,AIDS
23H71A54C0,AIDS
23H71A54C1,AIDS
23H71A54C2,AIDS
23H71A54C3,AIDS
23H71A54C4,AIDS
23H71A54C5,AIDS
23H71A54C6,AIDS
23H71A54C7,AIDS
23H71A54C8,AIDS
23H71A54C9,AIDS
23H71A54D0,AIDS
23H71A54D1,AIDS
23H71A6101,AIML
23H71A6102,AIML
23H71A6103,AIML
23H71A6104,AIML
23H71A6105,AIML
23H71A6106,AIML
23H71A6107,AIML
23H71A6108,AIML
23H71A6109,AIML
23H71A6110,AIML
23H71A6111,AIML
23H71A6112,AIML
23H71A6113,AIML
23H71A6114,AIML
23H71A6115,AIML
23H71A6116,AIML
23H71A6117,AIML
23H71A6118,AIML
23H71A6119,AIML
23H71A6120,AIML
23H71A6121,AIML
23H71A6122,AIML
23H71A6123,AIML
23H71A6124,AIML
23H71A6125,AIML
23H71A6126,AIML
23H71A6127,AIML
23H71A6128,AIML
23H71A6129,AIML
23H71A6130,AIML
23H71A6131,AIML
23H71A6132,AIML
23H71A6133,AIML
23H71A6134,AIML
23H71A6135,AIML
23H71A6136,AIML
23H71A6137,AIML
23H71A6138,AIML
23H71A6139,AIML
23H71A6140,AIML
23H71A6141,AIML
23H71A6142,AIML
23H71A6143,AIML
23H71A6144,AIML
23H71A6145,AIML
23H71A6146,AIML
23H71A6147,AIML
23H71A6148,AIML
23H71A6149,AIML
23H71A6150,AIML
23H71A6151,AIML
23H71A6152,AIML
23H71A6153,AIML
23H71A6154,AIML
23H71A6155,AIML
23H71A6156,AIML
23H71A6157,AIML
23H71A6158,AIML
23H71A6159,AIML
23H71A6160,AIML
23H71A6161,AIML
23H71A6162,AIML
23H71A6163,AIML
23H71A6164,AIML
23H71A6165,AIML
23H71A6166,AIML
23H71A6167,AIML
23H71A6168,AIML
23H71A6169,AIML
23H71A6170,AIML
23H71A6171,AIML
23H71A6172,AIML
23H71A6173,AIML
23H71A6174,AIML
23H71A6175,AIML
23H71A6176,AIML
23H71A6177,AIML
23H71A6178,AIML
23H71A6179,AIML
23H71A6180,AIML
23H71A6181,AIML
23H71A6182,AIML
23H71A6183,AIML
23H71A6184,AIML
23H71A6185,AIML
23H71A6186,AIML
23H71A6187,AIML
23H71A6188,AIML
23H71A6189,AIML
23H71A6190,AIML
23H71A6191,AIML
23H71A6192,AIML
23H71A6193,AIML
23H71A6194,AIML
23H71A6195,AIML
23H71A6196,AIML
23H71A6197,AIML
23H71A6198,AIML
23H71A6199,AIML
23H71A61A0,AIML
23H71A61A1,AIML
23H71A61A2,AIML
23H71A61A3,AIML
23H71A61A4,AIML
23H71A61A5,AIML
23H71A61A6,AIML
23H71A61A7,AIML
23H71A61A8,AIML
23H71A61A9,AIML
23H71A61B0,AIML
23H71A61B1,AIML
23H71A61B2,AIML
23H71A61B3,AIML
23H71A61B4,AIML
23H71A61B5,AIML
23H71A61B6,AIML
23H71A61B7,AIML
23H71A61B8,AIML
23H71A61B9,AIML
23H71A61C0,AIML
23H71A61C1,AIML
23H71A61C2,AIML
23H71A61C3,AIML
23H71A61C4,AIML
23H71A61C5,AIML
23H71A61C6,AIML
23H71A61C7,AIML
23H71A61C8,AIML
23H71A61C9,AIML
23H71A61D0,AIML
23H71A61D1,AIML
24H75A0101,CIVIL
24H75A0102,CIVIL
24H75A0103,CIVIL
24H75A0104,CIVIL
24H75A0105,CIVIL
24H75A0106,CIVIL
24H75A0201,EEE
24H75A0202,EEE
24H75A0203,EEE
24H75A0204,EEE
24H75A0205,EEE
24H75A0206,EEE
24H75A0207,EEE
24H75A0208,EEE
24H75A0209,EEE
24H75A0210,EEE
24H75A0211,EEE
24H75A0212,EEE
24H75A0213,EEE
24H75A0214,EEE
24H75A0215,EEE
24H75A0216,EEE
24H75A0217,EEE
24H75A0218,EEE
24H75A0219,EEE
24H75A0220,EEE
24H75A0221,EEE
24H75A0222,EEE
24H75A0223,EEE
24H75A0224,EEE
24H75A0225,EEE
24H75A0226,EEE
24H75A0227,EEE
24H75A0228,EEE
24H75A0229,EEE
24H75A0230,EEE
24H75A0231,EEE
24H75A0232,EEE
24H75A0233,EEE
24H75A0234,EEE
24H75A0301,MECH
24H75A0302,MECH
24H75A0303,MECH
24H75A0304,MECH
24H75A0305,MECH
24H75A0306,MECH
24H75A0307,MECH
24H75A0308,MECH
24H75A0309,MECH
24H75A0310,MECH
24H75A0311,MECH
24H75A0312,MECH
24H75A0313,MECH
24H75A0314,MECH
24H75A0315,MECH
24H75A0316,MECH
24H75A0317,MECH
24H75A0318,MECH
24H75A0319,MECH
24H75A0320,MECH
24H75A0321,MECH
24H75A0322,MECH
24H75A0323,MECH
24H75A0324,MECH
24H75A0325,MECH
24H75A0326,MECH
24H75A0327,MECH
24H75A0328,MECH
24H75A0329,MECH
24H75A0330,MECH
24H75A0331,MECH
24H75A0332,MECH
24H75A0333,MECH
24H75A0334,MECH
24H75A0335,MECH
24H75A0336,MECH
24H75A0337,MECH
24H75A0338,MECH
24H75A0339,MECH
24H75A0340,MECH
24H75A0341,MECH
24H75A0342,MECH
24H75A0343,MECH
24H75A0344,MECH
24H75A0401,ECE
24H75A0402,ECE
24H75A0403,ECE
24H75A0404,ECE
24H75A0405,ECE
24H75A0406,ECE
24H75A0407,ECE
24H75A0408,ECE
24H75A0409,ECE
24H75A0410,ECE
24H75A0411,ECE
24H75A0412,ECE
24H75A0413,ECE
24H75A0414,ECE
24H75A0415,ECE
24H75A0416,ECE
24H75A0417,ECE
24H75A0418,ECE
24H75A0419,ECE
24H75A0420,ECE
24H75A0421,ECE
24H75A0422,ECE
24H75A0423,ECE
24H75A0424,ECE
24H75A0425,ECE
24H75A0426,ECE
24H75A0427,ECE
24H75A0428,ECE
24H75A0429,ECE
24H75A0430,ECE
24H75A0431,ECE
24H75A0501,CSE
24H75A0502,CSE
24H75A0503,CSE
24H75A0504,CSE
24H75A0505,CSE
24H75A0506,CSE
24H75A0507,CSE
24H75A0508,CSE
24H75A0509,CSE
24H75A0510,CSE
24H75A0511,CSE
24H75A0512,CSE
24H75A0513,CSE
24H75A0514,CSE
24H75A0515,CSE
24H75A0516,CSE
24H75A0517,CSE
24H75A0518,CSE
24H75A0519,CSE
24H75A0520,CSE
24H75A0521,CSE
24H75A0522,CSE
24H75A0523,CSE
24H75A1201,IT
24H75A1202,IT
24H75A1203,IT
24H75A1204,IT
24H75A1205,IT
24H75A1206,IT
24H75A1207,IT
24H75A1208,IT
24H75A1209,IT
24H75A1210,IT
24H75A1211,IT
24H75A1212,IT
24H75A1213,IT
24H75A5401,AIDS
24H75A5402,AIDS
24H75A5403,AIDS
24H75A5404,AIDS
24H75A5405,AIDS
24H75A5406,AIDS
24H75A5407,AIDS
24H75A5408,AIDS
24H75A5409,AIDS
24H75A5410,AIDS
24H75A5411,AIDS
24H75A5412,AIDS
24H75A6101,AIML
24H75A6102,AIML
24H75A6103,AIML
24H75A6104,AIML
24H75A6105,AIML
24H75A6106,AIML
24H75A6107,AIML
24H75A6108,AIML
24H75A6109,AIML
24H75A6110,AIML
24H75A6111,AIML
24H75A6112,AIML
